Sample,PRDM1,BCL6,IRF4
CB,2.720734456,12.15459528,3.712181782
CB,2.653668628,11.90625967,5.414852183
CB,2.704014337,12.21045968,5.063578039
CB,2.622380981,12.17949077,4.685991127
CB,2.611553387,12.15459528,5.997029122
CC,2.58060424,11.93114681,5.831566224
CC,2.550391834,12.17949077,5.702515218
CC,2.553606933,12.07294855,7.124772756
CC,2.629043945,12.13623339,6.599754432
CC,2.572033955,12.00261001,6.370981232
PC,10.12346535,7.035853737,9.103791809
PC,8.442541034,7.341818328,9.627906128
PC,8.805292194,6.773579006,10.24778136
PC,10.18211639,8.432358776,9.61191359
PC,9.813984423,7.258304827,9.96485627629
